year,zip,borough,lat,lng,median_response_hours,count
2010,11432,UNSPECIFIED,40.709427,-73.79557,216.0,2895
2010,11433,Queens,40.697956,-73.78814,11.896666666666667,6211
2010,11433,UNSPECIFIED,40.697655,-73.78804,240.0,2974
2010,11434,Queens,40.677586,-73.77582,18.416666666666668,8434
2010,11434,UNSPECIFIED,40.678345,-73.77612,264.0,2511
2010,11435,Queens,40.70141,-73.80996,13.126805555555556,7597
2010,11435,UNSPECIFIED,40.699604,-73.80781,240.0,3257
2010,11436,Queens,40.67674,-73.79672,7.783333333333333,3324
2010,11436,UNSPECIFIED,40.676205,-73.7966,288.0,1136
2010,11510,UNSPECIFIED,40.62612,-73.96158,371.20694444444445,1
2010,11516,UNSPECIFIED,40.63973,-73.9651,678.8063888888889,1
2010,11552,UNSPECIFIED,40.64392,-73.7831,146.80277777777778,1
2010,11566,UNSPECIFIED,40.76424,-73.83336,2.531111111111111,1
2010,11570,UNSPECIFIED,40.58773,-73.79972,874.1044444444444,1
2010,11581,UNSPECIFIED,40.77202,-73.87253,534.7375,1
2010,11691,Queens,40.601215,-73.757744,18.40833333333333,7170
2010,11691,UNSPECIFIED,40.599796,-73.75723,216.0,4831
2010,11692,Queens,40.593605,-73.79489,16.033333333333335,1930
2010,11692,UNSPECIFIED,40.592667,-73.79309,216.0,1585
2010,11693,Queens,40.59181,-73.81492,26.125,1775
2010,11693,UNSPECIFIED,40.58812,-73.81379,192.0,390
2010,11694,Queens,40.578583,-73.84196,25.116666666666667,3181
2010,11694,UNSPECIFIED,40.580063,-73.8341,264.0,895
2010,11695,Queens,40.56212,-73.9023,0.0,18
2010,11697,Queens,40.559387,-73.91482,309.36555555555555,139
2010,11697,UNSPECIFIED,40.567245,-73.894035,564.0,40
2010,11753,Bronx,40.81946,-73.88682,1080.0,1
2010,11767,UNSPECIFIED,40.86311,-73.89662,375.05083333333334,1
2010,19111,UNSPECIFIED,40.73507,-73.75556,1080.0,1
2010,30339,UNSPECIFIED,40.74212,-73.99096,370.8566666666667,1
